Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
6.68586094706836,3,2.0,1,16.23638281544547,1.0,15.687312888712007,1,0,1,9.660851280467526
6.621405651764134,2,2.0,1,15.817030624455455,1.0,15.424948670398354,1,0,0,8.805075243870684
6.85751406254539,2,2.0,0,16.375272559403932,1.0,16.5563506464056,1,1,0,8.805075243870684
6.398594934535208,2,2.0,1,16.25448948367231,1.0,15.250595321348806,1,1,1,8.805075243870684
6.478509642208569,2,2.0,1,16.256055382797975,1.0,15.64006001130563,1,0,1,8.805075243870684
7.170888478512505,4,3.0,1,16.25448948367231,1.0,16.5563506464056,1,0,1,8.805075243870684
7.208600337960199,4,3.0,1,16.25448948367231,1.0,16.118095750958314,1,1,1,8.805075243870684
6.478509642208569,2,2.0,1,16.19903471389434,1.0,15.201805169084134,1,0,0,8.725020038618554
6.893656354602635,3,3.0,2,16.268073932700425,1.0,15.732433317205148,0,0,1,8.725020038618554
7.170888478512505,4,4.0,1,16.31328717024597,1.0,16.52356082573315,1,0,1,8.725020038618554
7.00397413672268,3,2.0,1,16.234332913042472,1.0,15.64006001130563,1,0,1,8.725020038618554
6.769641976852503,3,2.0,1,16.23638281544547,1.0,15.856731016694035,1,0,1,8.725020038618554
6.447305862541213,2,2.0,1,16.25448948367231,1.0,15.520258832020865,1,0,1,8.725020038618554
6.493753839851687,2,2.0,1,16.25448948367231,1.0,15.424948670398354,1,1,1,8.725020038618554
5.844832861991867,2,2.0,1,16.17439917914453,1.0,15.012459049468003,1,1,1,8.725020038618554
6.493753839851687,2,2.0,1,16.220017061696954,1.0,15.363073279446223,1,0,1,8.725020038618554
6.311734809152915,2,2.0,1,16.31328717024597,1.0,15.319588176962746,1,0,1,8.725020038618554
7.00397413672268,4,3.0,1,16.38729111041737,1.0,16.648723960844016,1,0,1,8.725020038618554
7.048386408721883,3,3.0,1,16.437469064965764,1.0,17.034386422832473,1,1,0,8.725020038618554
6.478509642208569,2,2.0,1,16.25448948367231,1.0,15.607270193858982,1,1,1,8.725020038618554
6.7464121285733745,2,2.0,1,16.33065254447797,1.0,16.213405921671733,1,1,0,8.725020038618554
6.803505257608338,3,2.0,1,16.21435928135531,5.0,15.319588176962746,1,1,1,8.725020038618554
6.0673972819405835,1,1.0,0,16.23564885168023,2.0,15.483217567201578,1,1,0,8.725020038618554
6.803505257608338,2,2.0,1,16.324599896779613,1.0,16.166885910365842,1,1,0,8.725020038618554
6.819941580218454,2,2.0,1,16.341973461004645,1.0,16.300417291085605,1,1,1,8.725020038618554
7.00397413672268,3,3.0,0,16.234332913042472,1.0,15.76142084987672,1,0,1,8.758569510991506
